mana man kagam	мой друг мне писал
i dijegen surarbi shinden 	и в лесу он спросил
koduren tuzojde	кодура коровы
digette di davaj nujneste nujne	тогда он стал петь песню
man lapatka suhoj ibiem	я взял сухую лопатку
ular ibiem	я взял овцу
ularde shide ular ibiem	за овцу я взял двух овец
shide ular ibiem kambiam nuke dugen ibiem	я взял двух овец пошел взял женщину из земли
i shide ular i nuke dagaj sijde	и двух овец и жену ножом в сердце
dagaj sijde muʔluʔpi	воткнул ей нож в сердце
a boste shobi man din nukem ige i shide ular	а сам пришел у меня там есть жена и две овцы
i shide koʔbsang i buze amnolaʔbe	и две дочери и мужчина живут
di bar buze dabakteria	он мужчине говорит…
sa minu sõnu usaldad või	ты веришь моим словам
ma vahetaks nuud linti kuna natukene	я бы теперь сменил плёнку потому что мало…
teper pozhalujsta dalshe	теперь пожалуйста дальше
kak kochewali chto sdelali ranshe muzhchini	как кочевали что сделали раньше мужчины…
iz chego sdelali ranshe eti  odezhda i kak	из чего сделали раньше эти … одежда и как
i kak ranshe mili	и как раньше мылись
kak ranshe warili obed i tak	как раньше варили обед и так
w chom i kak jeli	в чём и как ели
kakoj medwed i kak jego lowili	какой медведь и как его ловили
i chto potom delali tantsewali ili peli ili	и что потом делали танцевали или пели или…
kakije zweri u was jescho bili tam losi marali i dikije kozi	какие звери у вас ещё были там лоси маралы и дикие козы
kak	как…
kak lowili	как ловили
i kak belki i sobola i kak ih lowili	и как белки и соболя и как их ловили
kakoj woobsche sobol	какой вообще соболь
kakije u was jagodi i gribi sobirali etih ili	какие у вас ягоды и грибы собирали этих или
woobsche chto delali	вообще что делали
kakije u was derewja	какие у вас деревья
i chto delali iz derewa i iz berosti	и что делали из дерева и из берёсты
kakije u was ribi i kak etih lowili i kak sohranili	какие у вас рыбы и как этих ловили и как сохранили
chem lowili i kak sohranili	чем ловили и как сохранили
kakije bili domashnije zhiwotnije	какие были домашние животные
kakije bili ranshe bogi	какие были раньше боги
zheleznije i kamennije	железные и каменные
i kak tam bili zhgli swechej i kak  chto woobsche kak obratilis bi s bogami	и как там были жгли свечи и как что вообще как общались с богами
a kak gde ranshe rodili detej kak o nih zabotili	а как где раньше рожали детей как о них заботились
kogda detej zastawili rabotat i kakije raboti wipolnali deti	когда детей заставляли работать и какие работы выполняли дети
a kak ranshe ukrali li zhenschina i kak otkuda	а как раньше крали ли женщин и как откуда
a kak starih ludej kak kogda oni umerli kak horonili	а как старых людей как когда они умерли как хоронили
kto tam u was jescho bili tam bili karagassi i motori i kotti i tatari	кто там у вас ещё были там были карагассы и моторы и котты и татары
gde oni tam zhili i kak kochewali	где они там жили и как кочевали
a tatari chto delali tam	а татары что делали там
odnazhdi u washej roditelej bil finn chto on kakoj on bil i chto delal	однажды у вашей родителей был финн что он какой он был и что делал
teeme vaheaja	давайте сделаем перерыв
oot-oot	подожди
tak pozhalujsta	так пожалуйста
tak kakaja u was priroda tam gori i lesa i rasskazhite jescho o washej reke tam	так какая у вас природа там горы и леса и расскажите ещё о вашей реке там
chto tam wisoko w gorah tam sneg ili lod ili	что там высоко в горах там снег или лёд или…
a po-washemu	а по-вашему
horosho	хорошо
kak kak ranshe deti igrali	как как раньше дети играли
oota po-washemu	подождите по-вашему
kak spratali i tak	как прятали и так далее
a a deti dralis ili chto-nibud	а а дети дрались или что-нибудь
kakije bili washi jurti	какие были ваши юрты
i kak tam deti chto zimoj delali igrali ili	и как там дети что зимой делали играли или…
mogli bili na wso wrema w jurte ili kak	могли были на… всё время в юрте или как
oota	подождите
po-washemu	по-вашему
mozhete li bi skazat kakuju-nibud skazku	можете ли вы рассказать какую-нибудь сказку
digette mimbiʔi dijene	потом они пошли в лес
urgo majane mimbiʔi	пошли на большую гору
samejleʔpiʔi din	охотились там
kuʔpiʔi	убивали…
alenʔi kuʔpiʔi	убивали оленей
son kuʔpiʔi saxateʔi i maʔni uja deʔpiʔi inetsi	убивали  лосей и на лошадях привозили мясо домой
aleneʔiziʔ mimbiʔi	они ездили на оленях
dizeng 	они…
kamen sire uzleʔbe dizeng dober shobiʔi gijen man amnobiam a tuj tuj 	когда шел снег они приходили сюда где я жила а теперь…
a digette kamen ko molaʔbe dizeng bar kandegaʔi dijene delamde	а потом когда наступала зима они уходили в тайгу на белогорье
din kola daʔpiʔi	там они ловили рыбу
sadarbiʔi	продавали
priiskane mimbiʔi	ходили на прииск
olda ibiʔi boskende	покупали себе одежду
olda abiʔi kubazangde shoʔpiʔi	одежду делали… шили шкуры
pargaʔi shoʔpiʔi piʔmeʔi uzu shoʔpiʔi	шили парки штаны шапки шили
bazejbiʔi	мылись
multane mimbiʔi	ходили в баню
saben ilieʔi	берут мыло
din sabenziʔ dibige buziʔ	мылись там мылом горячей водой
i ibi	и холодную воду брали
maʔi abiʔi	делали чумы
urgo paʔi nuldebiʔi	ставили большие шесты
digette kubaʔi kajlaʔpiʔi i sire baʔlaʔpiʔi	потом покрывали их шкурами и забрасывали снегом
digette din kunolbiʔi	потом там спали
minzerbiʔi uja kola	варили мясо рыбу
ambiʔi	ели
essengde din ze ibiʔi	дети были там же
a turazangde nagobiʔi	а домов у них не было
aspaʔken	варили в котле
aspaʔi dirgit ibiʔi	котлы были вот такие
diber uja endleʔbeʔje	туда кладут мясо
kobergen	лук
toltanoʔ nagobi din dizenggen	картошки у них там не было
uge uja ambiʔi da kola dizeng	они все время если мясо да рыбу
ipek nagobi	хлеба не было
dizeng tilbiʔi sarankaʔi da ambiʔi	они выкапывали саранку и ели
urgaba kuʔpiʔi multuksiʔ	медведя убивали из ружья
i digette kubabe kurbiʔi	потом снимали с него шкуру
a silde ibiʔi	и брали его жир
toze ambiʔi i uja urgaban ambiʔi	тоже ели и мясо медвежье ели
din ige zhelch ugande jakshe	там у него очень хорошая желчь
imbi izemnie dak biʔpiʔi	когда что-то болит ее пили
tuj ileʔbeʔje di aptekaʔine ileʔbeʔje	теперь ее покупают в аптеках
sil toze ileʔbeʔje sadarlaʔbeʔje	и жир тоже покупают… продают
urgaban sil	медвежий жир
nu 	ну…
dizeng daʔpiʔi multuksi	на них охотились с ружьем
titleʔpiʔi	их стреляли
di tabergaʔi	их ловили
nuldlaʔpiʔi	ставили 
digette uge ditleʔbeʔje multuksi	потом всегда застреливали из ружья
tazep toze kuʔpiʔi multuksi	белок тоже убивали из ружья
men manderbi	собака их искала
a albuga toze kuʔpiʔi multuksi	соболей тоже стреляли из ружья
nuldebiʔi kapkaneʔi	ставили капканы
nuldebiʔi dirgit abiʔi	ставили вот так делали
man ej norbelem	я на языке не расскажу
nuldebiʔi toze daʔpiʔi	ставили  тоже ловили
dirgit urgo kak tospak	вот такого размера как кот
albuga	соболь
beshkeʔi kome ige dizeng minzerleʔbeʔje tuj amnaʔbeʔje	есть красные грибы их варят и сейчас едят
a girgiden tustarbiʔi	а солили
amnaʔbeʔje kamen ko molej shishege digette nuldlaʔbeʔje dune	их едят когда зима приходит холодно их ставят землю
padvaleʔine nulaʔbeʔje	они стоят в подвалах
digette kamen kondo nulaʔbe diber tustarlaʔbeʔje	когда они долго стоят их солят
enleʔbeʔje ukrop	кладут укроп
kobergen diʔne enleʔbeʔje	кладут туда лук
sire pa i kome pa	белое дерево и красное дерево
i gijen sane ige kedraʔi	и где есть орехи кедры
i sasnaʔi ige	и сосны есть
pixtaʔi ige paʔi uge dirgit urgoʔi amnolaʔbeʔje dijegen	пихты есть деревье всегда такие высокие стоят в лесу
miʔnibeʔ kola tolka	у нас рыба только…
kade numejdeste kola	как называется рыба…
xaruzeʔi	хариусы
nalimeʔi ige dashka girgitde kola naga	налимы есть другой рыбы нет
tolka shide kola miʔ 	только два рыбы у нас там
i din dijegen kambiʔi dak din urgoʔi ozeraʔi ige	и когда вы идете по тайге там большие озера
din toze kola	там тоже рыба
girgitde naga tolka xaruzeʔi ige kola	нет только хариусы
din daʔpiʔi	там ловили
i amniaʔi minzerleʔbeʔje	и едят варят 
a dirgit abiʔi shorep	делали такие палочки
sarlaʔbeʔje dirgit	привязывают вот так
digette nuldlaʔbeʔje paziʔ	потом кладут на
digette kola sholaʔbe diber suʔmeleʔbe	рыба приходит и попадается туда
a parzitte ej molia dare daʔpiʔi bar miʔ il	и не может поплыть обратно вот так наш народ ловил 
girgit ibiʔi 	какие были…
tuzoj ibi ular ibi	коровы были овцы были
iʔgo dizeng	много их…
samij girgit tolko nagur tuzoj amnolaʔbi a to sumna beʔ i muktuʔ i sejʔpu	у самых таких только три коровы жили а так было по пять десять и по шесть и по семь
girgit iʔgo	некоторых по много
ineʔi toze iʔgo dabolaʔpiʔi	они держали и много лошадей
a korerzitte naga imbide	а запрягать их было нечем
konza  amnolaʔbeʔje da digette kallaʔbeʔje dijene	кладут седло сидят и едут в тайгу
diber kandegaʔi digette ileʔbeʔje baltu multuk ipek tus aspaʔ	 берут топор ружье хлеб соль котел
din minzerzitte dijegen	чтобы варить еду там в тайге
dizeng  bazaj ibi	они были железные
piʔi nagobi bazaj kudaʔi dizeng ibiʔi	камней не было были железные боги
miʔ ilde	нашего народа
dizeng giberde ej 	они никуда не ходили
nagobi	не было
kamen dizeng amnobiʔi tegermaʔ nagobi	когда они жили цервей не было
dizeng ej nendeʔi di svechkaʔi	они не зажигали свечек
dizeng mimbiʔi shamande uge	они всегда ходили к шаману
diʔne mimbiʔi	к нему ходили
kak kuza izemneʔbe kanzitte nada shamande pushaj dazirlaʔbe	когда человек болеет надо идти к шаману пусть он лечит
nagobi balnitsaʔi nagobi imbide ej nagobiʔi	не было ни больниц ничего не было
dazirbi di shaman dizeng	шаман их лечил
nu shojdo dirgit shodorleʔbeʔje	ну шили такие люльки из бересты
diber enleʔi eshshi i di iʔbolaʔbe	туда кладут ребенка и он лежит
i kajlaʔbeʔje	и закрывают
din shiʔi alaʔbeʔje	там делают отверстия
shtobi diʔne jakshe ibi iʔbozitte	чтобы ему хорошо было лежать
i nulaʔbe	и стоит
a kamen dijene kallaʔi boskende ileʔi i dijene keʔbdejleʔ	а когда идут в тайгу берут с собой и в тайгу собирать ягоды
a kamen shindin ige ishsho mande koʔbdo ili ni mande maluʔbeʔi	а когда у кого-то дома есть еще дочь или сын они остаются дома
a keʔbde ibi sager keʔbde	а ягоды были - черная ягода
kome keʔbde	красная ягода
lem keʔbde	черемуха
kamen ozerleʔbe urgo molej	когда вырастут станут большими
beʔ sumna ko ali kumen digette millieʔi multuksi ishsho ej milieʔi diʔne	в пятнадцать лет или когда тогда они идут с ружьем им еще не давали …
poka tushelleʔbeʔje samejzitte essengde	пока дети учились охотиться
nu dildi di ibi	ну столько было
shide beʔ ko	двадцать лет
digette sholeʔje monoʔkoste koʔbdo di ni	тогда этот парень придет свататься к девушке
iat abat sholej	родители его придут
digette migeʔ miʔ nine boste koʔbdo	они  отдайте свою дочь за нашего сына
iat abat surarluʔpi tan kalal di nine	ее родители спрашивают ты пойдешь за этого парня
di mande kalam	она говорит пойду
digette ara bitleʔbeʔje	тогда они пьют водку
sarlaʔbeʔje garmonne	играют на гармошке
suʔmileʔbeʔje koʔbsang nizeng sholeʔje	танцуют девушки и парни приходят
iʔgo il	много народу
digette dizeng amnolaʔbeʔje	потом они живут
girgideʔi tojirbiʔi	некоторые крали
a girgideʔi dare monoʔkobiʔi	некоторые так сватались
nu kalaʔi pa  digette 	ну пойдут дерево  потом…
alaʔbeʔje dirgit korito diber enleʔbeʔje	делают такое корыто и кладут туда
du tilleʔbeʔje	копают землю
diber 	туда опускают 
digette  da maʔnde  kandebiʔi	потом и идут домой
shobiʔi toze amnaʔbeʔi	пришли тоже едят
ipek bar imbi 	готовили хлеб и еще что-то
digette il kalla durleʔje	потом люди уходят
karagazeʔi i tuj ige	карагасы и сейчас есть
a miʔnibeʔ naga di man turagen	но у нас их нет в моей деревне
tuj ishsho ige	сейчас еще есть
dizeng ishsho milleʔbeʔje alenʔi	они еще ездят на оленях
a miʔnibeʔ naga abalakovo	но у нас их нет в абалаково
din man unna amnaʔbem	я там одна живу
shindide naga	никого нет
uge il diregeʔi	только поселенцы
dabakterzitte  shindi naga	говорить не с кем
nu digette imbi abiʔi	ну что они делали
dizeng uge 	они всегда охотились
ash ej kuʔpiʔi	рожь они не сеяли
i toltanoʔ ej amnolbiʔi	и картошку не сажали
man abam ibi direk di di talerbi toltanoʔ dizengde amnoldebiʔi	мой отец был поселенцем он пахал они сажали картошку для них
ipek budej ipek i ash diʔne padebiʔi	хлеб пшеницу рожь они ему
man abam kazak ibi kuza diregeʔi dizeng	мой отец был русским они были поселенцы
toze dabakterbiʔi di shiketsiʔ	они тоже говорили на этом языке
shobi miʔnibeʔ man uduge ibiem	он пришел к нам я маленькая была
turagen dabakterbiʔi	они разговаривали в доме
a miʔnibeʔ ej oʔlubiʔi	а нас не пустили
shideng shobi di	он два раза приходилприезжал
a digette shobi di diber miʔnibeʔ agafon ivanovich shobi miʔnibeʔ diziʔ dabakterbiam	а потом к нам приехали агафон иванович я с ним разговаривала
a dashka shindide ej shobi	а больше никто не приезжал
kamen urgajam kambi dijene keʔbdejleʔ ibi di man iam boskenzi	когда моя бабушка ходила в тайгу за ягодами она брала мою маму с собой
i din  edebi paʔine	и там вешала на деревья
a boste kalla durbi kalla durbi ej molia kuzitte	а ушла не могла ее найти
mimbi mimbi ej molia kuzitte	она шла и шла и не могла найти
digette men kubi i kirgarlaʔbe	потом собака нашла и залаяла
digette di shobi mande men ibi jakshe shto eshshibe kubi	потом пришла сказала хорошая собака что ребенка нашла
men mandebi eshshi digette di shobi	собака увидела ребенка потом она пришла
 ibi dim i maʔni kalla durbi	взяла ее и пошла домой
skazala uzhe	сказала уже
miʔ majaʔi ugande urgoʔi	горы у нас очень большие
don naga dirgit majaʔi shiʔnileʔ a miʔ urgo majaʔi ugande	здесь у вас нет таких гор а у нас очень высокие горы
kada mandlal dak uzu saʔmeluʔpi ulunde urgo	когда смотришь  шапка падает с головы большие
kamen kalal kanoklerde dak din ugande urgo maja	как идти в кан-оклер там очень большая гора
miʔ turazangde i to idlaʔbe di maja urgo ugande	из нашей деревни и то видна эта гора большая очень
a bune dak uge piʔi i piʔi	а к реке так всегда камни и камни
oniʔ maja ige dak imbide naga girgitde pa naga  tolka noʔ ozerleʔbeʔje	есть одна гора так ничего нет ни одного дерева нет только трава растет
dim numejlieʔi pleshivaj maja	ее называют плешивая гора
naga din imbi imbide naga girgitde pa naga	там ничего нет ни одного дерева нет
nu taka wisoka gora	ну така высока гора
naziwaetsa po-russki pleshiwa gora	называется по-русски плешива гора
no ja taka 	но я така 
no ja goworila sejchas	но я говорила сейчас
paʔi naga pleshivaj maja	деревьев нет плешивая гора
wisoka taka gora mimo ja jeje jezdila skolko	высока така гора мимо я ее ездила сколько…
kto ih znajet wot mi igrali dak	кто их знает вот мы играли дак…
sarlaʔbeʔi sarbibaʔ paziʔ	играют мы играли с палочками
oniʔ oniʔ 	друг другу кидают
bar oʔleʔje pa di pa 	кидает палочку эта палочка 
a miʔ nuʔmeleʔbe 	а мы бежим
din bazoʔ sarlaʔbe a di manderia manderia ej mozet manderzitte miʔnibeʔ	потом опять играют а тот ищет ищет не может нас найти
din miʔ bazoʔ sarlaʔbeʔje	потом мы опять играем
esseng toze dabrobiʔi	дети тоже дрались
i bazoʔ sarlaʔbeʔje	и опять играли
esseng dak esseng dabrolaʔbeʔje bazoʔ sarlaʔbeʔje	дети - это дети если и подерутся опять играют
girgit ilej di imbiziʔ sarlaʔbeʔje	кто-то возьмет то с чем они играют
di ej mileʔbe	не дает
digette dabrolaʔbeʔje digette oniʔ dorlaʔbe	тогда они дерутся потом один плачет
digette diʔne mileʔbe	тогда ему дает
mande maʔ i doraʔ	говорит хватит не плачь
no ja goworila kazhetsa	но я говорила кажется
w jurte zhe zimoj nahodilisa	в юрте же зимой находилися
jurtagen ze ibiʔi amnolaʔpiʔi	в юрте же находились жили 
din urgo sire ibi	снега было много
miʔ 	мы зажигали 
don amnobiʔi maʔken	там они жили в чуме
din eju	там тепло
shu din nendleʔbeʔje pa elleʔbeʔje	огонь там зажигают дрова подкладывают
amnolaʔbeʔje	сидят
a kamen eju molej digette niʔde milleʔbeʔje	а когда станет тепло выходят на улицу
a dizeng samejzitte kambiʔi tibizeng	а мужчины ходили на охоту
a nezeng maʔen amnolaʔbeʔje essengziʔ	а женщины живут в чуме с детьми
ne znaju kakuju skazat skazku	не знаю какую сказать сказку
ibi oniʔ i numejleʔbeʔje dim kodur ibi kome parga	жил один  его звали кодур красная парка
kandlaʔbe	он идет
malliaʔikodur kodur kome kuba	говорят кодур-кодур красная кожа
giber kandegal	куда ты идешь
 dabakterzitte	я забыла дай я скажу
digette shobi dizeng amnobiʔi oniʔ dugen	потом пришел живут в одном большом месте
di 	он…
tibi maluʔpi a iat kulambi	муж остался а жена умерла
maluʔpi a iat kulambi	отец остался а мать умерла
din shide koʔbdang ibiʔi	у него было две дочери
digette di 	тогда он…
din ular ibi oniʔ	у него была одна овца
digette di nukem ibi kambi kambi	тогда он взял жену шел шел
i kubi dizeng toze maʔken amnobiʔi	и увидел людей который тоже жили в чуме
shobi 	он пришел
shobi	он пришел
shide ular diʔne ibi	у них было две овцы
shobi digette amnolbi dim i dagaj sijde muʔbdebi	он пришел посадил ее и воткнул ей в сердце нож
i udane mibi shide ular	и дал ей в руки двух овец
digette shobi diber	потом он пришел туда
amnolaʔbe dabakterlaʔbe abatsi da koʔbsang	он сидит разговаривает с отцом и дочерьми
dizeng malliaʔi amnoʔ amorzitte	они говорят
dok man kallam din man nukem amnolaʔbe ularde shide	нет я пойду там моя жена сидит двумя овцами
a di koʔbsang nuʔmeluʔpiʔi diber	девочки туда побежали
i ular bar nuʔmeluʔpiʔi nereʔluʔpiʔi	и овцы разбежались испугавшись
shobiʔi malliaʔi tan nuke bar dagaj sijgende	они пришли и говорят у твоей жены нож в сердце
digette di davaj dorzitte	тогда он давай плакать
saʔmeluʔpi dorlaʔbe dorlaʔbe	упал  плачет плачет
no iʔ ular	ну возьми овец
digette bar ular ibiʔi	тогда они взяли всех овец
di kuza shide koʔbdo mibi	этот мужчина дал ему двух дочерей
digette kambi	он ушел
shobi shobi	шел шел
miʔ kamen shobibaʔ abalakofte	когда мы приехали в абалаково
miʔnibeʔ jakshe ibi il	люди к нам хорошо отнеслись
shabibaʔ jakshe	мы хорошо переночевали
digette mimbibeʔ mimbibeʔ	потом мы ходили ходили
girgideʔi buzeʔi kubibaʔ	мы встретили каких-то мужчин
dabakterbibaʔ dizeng imbide ej timneʔi nuzang	мы поговорили они ничего не знают камасинцы
nuzang il	камасинцы
kade dizeng amnolaʔbeʔje	как они живут
miʔ teneluʔpibeʔ bazo parzitte mande	мы думали вернуться обратно домой
oniʔ koʔbdo jela kambi sut manderdeste	одна девушка эля пошла поискать молока
i shobi nukene oniʔ nukene	и она пришла к одной женщине
di nu ige nuke di mande litso kadel	эта женщина камасинка она говорит
a wolosja eʔbde	а волосы eʔbdə
di bar parluʔpi	эта вернулась
bar sijde ugande jakshe	ей на сердце очень хорошо 
mambi don nuke ige	говорит тут есть женщина
nudla molia dabakterzitte	она умеет говорить по-камасински
di mana norbebi dewushka koʔbdo ige a paren ni	она сказала мне девушка коʔbdо парень ni
digette 	потом…
digette miʔ maluʔpibeʔ	тогда мы остаться
di nukene mimbibeʔ dabakterzitte	мы ходили разговаривать к этой женщине
nagur beʔ dala dabakterbibaʔ	мы разговаривали тридцать дней
bar imbi	обо всём
norbebi boste shiketsi	она рассказывала на своем языке
dare mambi man totkam kulambi	она так сказала моя тетя умерла
shide beʔ pe kambi	двадцать лет прошло
ej dabakteriam	я ни с кем не разговаривали
diʔne tuj sejʔpu pe	ей сейчас семь лет
di ugande jakshe nuke	она очень хорошая женщина
bar imbit ige	у нее все есть
amzitte milie a ej amnal dak di bar kurollaʔbe	если она дает вам есть и вы не едите она сердится
digette di uge maʔnde iʔgo togonoria ej sedem ujunde	она все время работает в доме ее ногам не тяжело
kazan turane beʔ shide sumna di bar kalia ujuzi	в агинское двадцать пять  она идет пешком
a mashinaʔi millieʔi di diber ej amlia	а машины проезжают она в них не садится
a udin kalej	а идет пешком
man ujuzi lutshe kalam	я лучше пойду пешком
aʔti pramoj	дорога прямая
a mashinaʔizi ugande kunggeng kanzitte da bar saderlaʔbe	а машиной очень долго ехать и трясет
girgit sudba nuzanggen	какая судьба у камасинцев
shinde isho molia dabakterzitte ali 	кто-то еще может говорить или нет
abalakovan essengde mozna kuzitte	на  в абалаково можно найти детей
sire ulut simat sager	голова белая глаза черные
ne tolko kazak kem ige	не только русская кровь 
i kem ige nuzang	и камасинская кровь есть
girgit bar ozerleʔbeʔi 	некоторые уже выросли
kambiʔi togonorzitte diber-dober vot prona	пошли работать туда или сюда вот проня
andzhigatow	анджигатов
predsedatel selsoweta	председатель сельсовета
a boste shiket ej timnet	а свой язык не знает
tolka di nuzang shiket oniʔ nuke timnet	только одна женщина знает камасинский язык
a dashka shindide ej timne di shikem	а больше никто не знает этот язык
tan mana shambial	ты мне соврал
tan mana megluʔpiel	ты меня обманул
digette shaʔlambiam a man tanan manderbiam manderbiam ej moliam manderzitte	я спряталась и я искала и не могла найти
ej jakshe kuza amnobi	жил-был плохой человек
dim numejleʔpiʔi tarteberde	его звали тарча-барджа
di bar shojmu daʔpi	он купил кобылу
ujut izemnie	у нее болит нога
kanzitte ej molia	она не может ходить
digette kambi kambi	потом он шел-шел
urgaba shonega iʔ mana 	медведь идет возьми меня с собой
no tolka sager barane 	только посади меня в черный мешок
di dim amnolbi bazo kandega	он его посадил дальше идет
kandega kandega digette 	идет идет потом…
digette urgo men dijege shobi	большая собака вышел из леса
iʔ mana	возьми меня
tolka sager mana barane amdelde	только посади меня в черный мешок
di amnoldebi	он посадил
kambi bazoʔ shonega shonega 	пошел опять идет идет
lisa sholaʔbe	лиса идет
iʔ mana	возьми меня
di dim ibi	он ее взял
sager barane amnolbi digette bazo kandega	посадил в черный мешок потом дальше идет
bu shonega iʔ mana	вода идет возьми меня
digette di bu kamnebi diber	он налил туда воду
shobi	пришел
din bar turaʔi nugaʔi i bu ugande urgo	там большие дома стоят и очень большая вода 
di shojmu sarbi	он привязил кобылу
shu embi amnolaʔbe	разложил огонь сидит
dim kuluʔpi kong shinde din amnolaʔbe	царь увидел его кто это там сидит
man noʔde toneʔlaʔbe	топчет мою траве
shojmut amnaʔbe	его кобыла ест 
din udugen amnolej digette bazoʔ bar toneʔlej	там немного посидит потом опять топчет
kanaʔ	иди
nibe oʔlubi	сына своего послал
imbi diʔne kereʔ	что ему надо
di shobi surarlaʔbe imbi tanan kereʔ	тот пришел спрашивает что тебе надо
din kongde koʔbdobe ilim	я женюсь на дочери этого царя
di ni parluʔbi mande di mande kongde koʔbdobe ilim	мальчик вернулся назад и говорит
pushaj 	пусть они уйдут
a to ej jakshe molej	а то будет плохо
ej milem	не отдам
di shobi mambi dare kong ej miliet koʔbdobe	он = пошел сказал так
ej milej jaksheng dak ej jakshe milej	если не отдает по-хорошему так отдаст по плохому
oʔleʔ dikij ineʔi	выпустите диких лошадей
dizeng bar din shojmunde sajniʔluʔleʔje digette kalla durlej	они разорвут его кобылу тогда он уйдет
digette di urgaba oʔlubi sager barageʔ	тогда он выпустил медведя из черного мешка
di urgaba ineʔi bar surerluʔpi	медведь прогнал лошадей
digette mande oʔlugeʔ tuzojʔje pushaj tuzojʔje	тогда говорит выпустите коров пусть коровы
amnutsi bar inebe bar kutleʔje	рогами убьют его лошадь
di bar barage oʔlubi urgo men di kambi dizeng bar surerluʔbi	тот выпустил волка из мешка побежал прогнал их
digette mande oʔlugeʔ 	тогда он говорит выпустите…
digette kong oʔleʔ menzeng	тогда царь выпустите собак
pushaj menzeng dim sajnuzeʔleʔje	пусть собаки его разорвут
di oʔlubi menden	он выпустил собак
a di lisa oʔlubi menzeng lisagen nuʔmeluʔpiʔi	а тот выпустил лису собаки убежали лисы
digette di kong bar il oʔbdebi kanzebej dim ilebej	тогда царь собрал людей пойдем возьмем его
il shobiʔi di bar barabe bu kamnebi	люди пришли он вылил воду мешка
il bar nuʔmeluʔbiʔi buge	люди убежали от воды
digette di kong kirgarlaʔbe pelde ige mambi	тогда царь закричал
man ige tuzojʔi 	у меня есть коровы лошади
menzengde mambiem akta iʔgo mambi	собаки много денег
imbide mana ej kereʔ tolka koʔbdom izitte	ничего мне не нужно только дочку взять
digette sager barane bu ibi i 	потом он забрал воду в мешок и…
digette miluʔpi koʔbdobe di amnolbi shojmune i kambi maʔnde	тогда он отдал свою дочь тот посадил на кобылу и поехал домой
shide kaga amnolaʔbebi	жили два брата
dizeng nezengde ibiʔi	у них быи жены
dizeng oʔbdebiʔi kambiʔi dijene	они собрались пошли в лес
a nezeng maʔnde bar	а женщины остались дома
nudin amorzitte amnebiʔi	вечером они сели есть
digette mandoliaʔi aspaʔen girgitde kuza amnolaʔbe	они увидели в котле сидит какой-то человек
dizeng moʔi oʔbdebiʔi i aspaʔde embiʔi	они собрали гнезда и положили их в котел 
a di mu bar  duʔpi ibi	но эти ветки были мокрые
digette di shobi	потом он пришел
ej mobi nendeste di kuza	этот человек не мог разжечь огонь
oniʔ nem kutlaʔpi	он убил одну женщину
digette shide bazoʔ nene mande imbi tan amnolaʔbel nendeʔ	он опять сказал женщине что ты сидишь разожги огонь
di bar nachal nendeste	она начала разжигать огонь
di diʔne baltuziʔ ulube jaʔpi	он разрубил ей голову топором
digette essengde kutlambi	потом он убил детей
digette ti dizengde mande parluʔpi	потом те вернулись домой
dizeng nezengde naga	их жен нет
shindide kuʔpi essem i nezengde	кто-то убил детей и жен
amnobiʔi buze nuketsi	жили мужчина с женщиной
dizeng imbide nagobi tolka oniʔ tuzoj	у них ничего не было только одна корова
dizeng amorzitte naga ibi	им было нечего есть
digette tuzojde batluʔpi	тогда зарезал корову
nukem surerluʔpi kanaʔ a to mana boskendem amga molej	он выгнал жену иди а то мне самому будет мало
di nuke kambi kambi	женщина шла шла
isho maʔ kubi	нашла другой чум
maʔde shobi	зашла в чум
din sel iʔbolaʔbe uja iʔbolaʔbe	там жир лежит мясо лежит
di minzerbi bar amorbi	она сварила поела
nunniet bar shindide shonega	слышит кто-то идет
iʔgo ular deʔpi tuzojʔi ineʔi	привел много овец коров лошадей
digette shobi maʔde	потом он зашел в чум
mande karde aji	говорит дверь откройся
aji karluʔpi di shobi manderla	дверь открылась вошла смотрит
shindide ibi sel naga uja naga ipek naga	кто-то был  жира нет мяса нет хлеба нет
shinde don ibi	кто тут был
tibi dak buzem molej	если мужчина - будет моим мужем
ne dak helem molej	если женщина - будет моей подругой
digette di nuke uʔbdebi shobi	тогда эта женщина встала вышла
di dim amnolbi	та ее усадила
amorla amnobiʔi	они сели есть
di surarlaʔbe imbi tan udal ujul naga kade tan minliel	она спрашивает почему у тебя нет ни рук ни ног как ты ходишь
da dare minliel	да так хожу
tan jamane suʔmilel	ты прыгнешь в яму
suʔmilem	прыгну
digette kambiʔi	потом они пошли
di suʔmibi di diʔne baltuzi ulube bar sajjaʔpi	та прыгнула а она отрубила ей голову топором
digette bar ibi	взяла мозг
selde ibi uja ibi	взяла жир взяла мясо
puzirde embi digette parluʔbi boste buzende	положила в пузырь потом вернулась к своему мужу
maʔde sabi a buze kossi udabe bar 	она залезла на чум а муж на руке углем…
udabe kossi bar 	…руку углем…
dom ujam amnem dom ujam amnem	это мясо я съем  это мясо я съем 
a di bareʔluʔpi diʔne	она бросила ему 
di kabarluʔpi vot kudaj mana mibi	он схватил  вот что мне бог дал
da kudaj tanan milej	да бог тебе даст
pi tanan milej kudaj dim man mibiem	бог тебе камень даст это я дала
digette di amorbi kambiʔi	потом он поел они пошли 
din ineʔi tuzojʔi ulareʔi shobiʔi diber	там лошади коровы овцы они пришли туда
