горовэ-э нулгӣчэвун.	долго аргишили.
тихисе туңаняма орон батикнэн истадо, воти биңкӣн тӣхисэ туңаняма.	тысяча пятьсот оленей вплотную, стадо было тысяча пятьсот.
тар бэетко̄н удялӣтын hурусо, илкэ̄ндулӣтын.	тот мальчик пошел по следам, по зарубкам.
кэ... кэтэ hуточил бичо̄тин нуңанңилин ан... антилин аминнунин.	ее родители,  с отцом, были многодетные.
нуӈан минэ анача̄н и потом hуктылча̄н.	он меня толкнул и убежал.
«ӣдӯ?»	«где?»
то̄лӣ истанокил бишё̄тын.	тогда станки были.
ну, тукса̄дярав кое-как.	ну, бежим кое-как.
тарит-та тāдук-тэ һуетчōвун, эмэхичōвун амаскӣвэр.	оттуда потом разъехались, поехали обратно.
эркондӯ ичэврит, наверное, биркэ.	отсюда, наверное, видно было.
hурум ичэтно̄м.	я пошел, пошел посмотреть.
«кӣк, кӣк!»	«кык, кык!» {команда, отзывающая собак}
тар мӯт оптыhинивкӣ-да̄ — тариӈилин арувкӣл бисол.	этой водой брызгал, и эти его  оживали.
****	****
****	****
то̄лӣ-до̄ болоктовон аhӣлам.	тогда-то, осень когда настала, я женился.
hэлэко̄кӯнди нуӈанман даснаван оран.	из железа сделал крышку.
как раз бушшэдечо̄в то̄лӣ.	я как раз болел тогда.
****	****
****	****
hавалдерэв чопумошол, ну, шукшилрэ.	ходим, ну, на лыжах.
мо̄ртын hавалдяра.	сами работают.
дундэӈтыкӣи hурулми, hурупдеӈо̄в.	когда пойду на свою землю, унесу.
«этэм аhӯра», —	«не буду трогать», —
аӈ уркэдӯ уючэдедера аӈма, чипка̄ка̄нмэ.	это, у двери привязывали это самое, утку.
hэр hэргӯла̄ дундэла̄ бурум, гиркудяна, эмукин бултаденэ.	упал на нижнюю землю, когда ходил один, охотился.
потом садиктӯ хавалим.	потом я работала в детском саду.
орор манавулда.	олени кончаться стали.
а уситча̄н ленинградтӯ.	а училась она в ленинграде.
ну а так чего...	ну а так чего...
аминми гаса̄н экунмэ, кружкэко̄нмэ чиктилвэ.	"отец брал это, кружечку, бисер".
нул..., нулгӣчōвун-тэ целый нулгӣв, итыкирвӣ ӈэнэвумдэк	аргишили-то целый аргиш, пока вещи свои отвозил он.
нуӈан эмэрэн.	он подходит.
доӈототчэнэ.	замерзает.
****	****
потом эмэрэ.	потом они пришли.
мирисо̄н нуңан аминдӯф, иландяр аңаниси бинэ.	она вышла замуж за моего отца, будучи тридцатилетней.
девугин!	пусть поест!
ну, ама̄ка̄в бичо̄н, онёков.	дедушка, бабушка у меня были.
киӈгит исесё-дэ̄, ӈэ̄лэвсе-дэ̄.	кингит увидел и испугал .
****	****
ну, биңнэрэ таду.	ну, бывали там.
би тоже, би хавалча̄ф это, колхoзтӯ хавалилим.	я тоже, я работала, это, в колхозе стала работать.
тарка̄кунди аӈиллав.	вот ими стали это самое .
тāдук-тā потаптулā  гиркуйичāвун.	оттуда в потапово ездили.
правда, бидерэ, дюр hуна̄дилви мирныйдӯ бидерэ дюр.	правда, живут, две моих дочери живут в мирном.
вот ичэтчэӈкӣв энӣнми...	вот смотрела на маму...
ну.	да.
тадук каhилиса.	потом стал рвать.
о̄кӣва, гунипкӣ, тэгэсим — эсэв hа̄рэ.	сколько, говорит, сидела — не знаю.
hо̄кононо.	жара такая.
экун-да̄ тогда ачин биӈкӣн.	ничего тогда не было.
толи пургалча бисо̄н.	тогда пурга началась.
тар улгусо̄ндеӈкӣтын.	так рассказывали они.
****	****
экэлду никогда, экэлду нӣвэ-дэ аӈ-кэ, обижаттэ!».	никого никогда не обижайте!»
бэел девдерэ, тадӯ остолдӯ тэгэтчэнэл.	люди едят, сидя там за столом.
дяпкун бēгаси бисо̄ф би, хуюкуко̄н.	восьмимесячная я была, маленькая.
а, м-м.	а, м-м.
нуӈан пэктырэ̄рэн.	он выстрелил.
орорво исэсиӈкӣн	оленей посмотрит
э̄, тар ӯчакилин hуктылчэл тук-ко̄н.	а те учаки его убежали вот так.
****	****
орорво гәнноhинәв.	оленей отправились забирать.
«о̄, эӈэhӣв ачин».	«о, у меня нет сил».
э аӈи эр, гундем, ая бичо бимчэ.	это, это самое, говорю, хорошо было бы.
ура̄м.	промахнулся.
чипка̄р до этого гиркуиша̄тын.	волки до этого ходили.
кислокандӯ индена дан= ахиси бисё̄ф та̄дӯ ǝ-.	в кислокане живя, женатый (=с женой) был там.
эниндуйӣ бэлэдеңкӣф.	матери помогала.
амӈаван аӈакэллу, чтоб нуӈан юлдо̄н, тар чаӈит юлдо̄н абдундукки.	вход  откройте, чтобы он вышел, чтобы медведь вышел из своей берлоги».
умукон орондӯ киӈгило̄н бисо.	у одного оленя колокольчик был.
дылвэв поцарапал	голову мне поцарапал.
таргит эмэчол бичо̄тын.	оттуда они приехали.
ēкунда асин, дептылэтын асир.	ничего нет, еды нет.
«тар-кэ ичэвуллэн дылин».	«вот его голова показалась».
«би эhико̄н эма̄мия танчэлдем это, нуӈарватын.	«я сейчас буду их нарочно тянуть.
о̄н туги ңэнэвуфкӣ-тэ, проводник бинэ?	как так отвозит, будучи проводником?"
****	****
энинңэхэ гундэрэн.	мать покойная говорит:
нэкурви, ӣлэн ахал, эдӯ бидерэ.	младшие сестры три здесь живут.
долболтономок эмэӈнэм».	только к вечеру прихожу».
нулгӣктэфкӣл.	кочуют.
хактэ инектэлко̄тчэрэ мортын момоӈил.	смеются сами над собой.
ӈинакир гогодерэ.	собаки лают.
ирэн умуко̄н дюкчала̄.	вошел в один чум.
урэгэ̄ндӯ, калтырдӯ, тадӯ.	на обрыве, там, на склоне.
дюмадук юсо-до̄, тэпкэтчо.	из чума вышла и покричала.
нуңартын дежуридепкӣл, ну а тырга мы, бӯ һавалдяңнэрэвун, нӣ-гэ ё̅!	они дежурят, ну а днем мы, мы работаем, кто же!
hукулэ̄девкӣ.	лежит.
тадук уставатын-тэ манаран.	потом всех прикончил.
aӈи, поповы были, тоже эвеӈкӣл	эти, поповы были, тоже эвенки.
уже кали осалаи, нуӈан хавалилдан зверофермадӯ.	уже став большим, он стал работать на звероферме.
ē ну эртыкӣ же уӈунтыкӣ бинэ, биркэ наверное.	да, ну туда же, в сторону того будучи, были, наверное.
палакинэдӯвэр балдым.	я выросла в плахине.
эрдэло̄н hурупсёл тар бэевэ.	совсем унесли того человека.
аhаткан одан.	он стал девочкой.
"самолет хорошо, оленей хорошо, а олени лучше!"	"самолет хорошо, оленей хорошо, а олени лучше!"
устэ= бэйэвэ ха̄рэн, бэйэ.	человека знает .
огдоко̄соко̄нви, карияса̄нми лукча-да̄, амардукин туксадянэ.	он снял свою парку с шерстью, свою замшевую парку и бежит сзади.
тāдук ирэмӣдечōвун тāлӣ второй стāдоду, первый стāдоду.	оттуда туда в гости ездили во второе стадо, в первое стадо.
ӈэлифсипчу-кэмэ, эрупчу эвӣвун-до̄ бими, этэкэл, этэкэл!»	очень страшно, перестань, перестань, потому что это плохая игрушка!»
бэйэл орорвэ га̄ттэ.	люди оленей разобрали.
умно̄ hэлэ бэе умуко̄н бултадеся, гиркудяса, сипка̄мӣдеса бисё.	вот однажды один человек охотился, ходил, охотился на соболей.
гусё тар бэе.	сказал тот человек.
бэел-кэ нюӈун бисо̄тын, буко̄куттэ.	мужчин шесть человек было, поумирали.
вот мом эдӯ индем, поселкадӯ хантайское озеро.	сама я живу здесь, в поселке хантайское озеро.
тарит горово̄ инэн.	оттого долго жила.
****	****
эхӣ всё, ни поселкал даже нету.	сейчас все, ни поселков даже нету.
доӈотоми, эдӯ бисё бимчэл.	если бы замерзли, были бы тут.
акӣм уже хар хагды одан.	брат уже взрослый стал.
где-то, наверное, демӈэнэн тадӯ биркэ, ēкун-ка.	где-то, наверное, там его объедки, что-то .
этыркэ̄м, василий иванович, сурурэн, гэннэ̄стэн орорди саво̄далвэ, гэннэ̄рэн, эмэврэн.	муж мой, василий иванович, поехал, чтобы на оленях привезти вещи, забрал, привез.
учиттяӈкӣф учамидӯ.	учился я в учами.
часовня.	часовня.
потом ча̄скӣ сурурэв hэрэкэт, hэрэкэт hоктэт сурурэв-кэ эсӣлэ̄.	потом в сторону поехали, другой тропой поехали тогда.
таймурава да̄грав.	через р. таймуру переправились.
тадук hэлэ нуӈан, нуӈанман умканэм, нян гуканэм, тадук ганатма̄силча.	потом это, он его... стал стреляться.
амин авипдяфкӣ — энӣңэhи аминин.	отец "дорогу делал"  , отец покойной матери.
мучудерактын эрэ, удядӯтын иhича-кэ бичо.	когда они возвращались, он на дороге их догнал.
****	****
и бу потапчика̄дулӣ тоже эвэски.	и мы через потапчик тоже сюда.
кэримко̄рвэ пэктирудэңкӣн утэ̄лэ̄.	белочек стреляла раньше.
****	****
ну нуӈан тыкулдэн и давай тукса̄hинэн	он рассердился и давай бежать.
тыма̄тнэ элэвон ора.	утром все сделали.
би этэм hинди гиркӣтэ̄деми.	я не буду с тобой дружить.
эва?	что? 
hулукундӯф бу нулгиктэдеӈкӣвун эрэ амбардулӣ, кулумбēлӣ.	когда я была маленькая, мы аргишили на этом самом, по рыботочке амбар, вдоль речки кулюмбе .
дудинкала̄ норильскадук валектӯ.	в дудинку из норильска на валек.
****	****
мӯдӯ эр-кэ, аӈэ, иргэктэлдук тэгэтчэчо̄тын.	в воде сидят от паутов.
буруден который — опять горы опкӣл.	которая упадет — опять горы появляются.
гуннэ, думайча тар бэе.	подумал тот человек.
орорвун hуто̄лэ кэтэ бисо̄тин.	оленей у нас раньше много было.
умуко̄нмэ ва̄рэв.	одного мы убили.
тадук нян улуму..., улумиӈнэрэв, улу... улумоӈнэрэв.	потом опять уезжаем белковать.
«би уӈтувунэ окта эр ирэксэдук.	«я сделаю бубен из этой шкуры.
кэтэво оролорвэ буңкитын, оролоңмэ.	много оленеводам мы давали, оленеводу.
уйдэн аят.	хорошенько привязал.
мо̄тӣ hукулэ̄деко̄куттэн hойдӯ.	лось разлеживается в кустах.
амаскӣ тэпкэдяна тукса̄дям.	назад я побежала, крича.
****	****
тар ирэксеӈми аӈдан-да̄, оран тар уӈтувунэ, эhӣ тар hēктака̄рдук мо̄ян оканэм.	сделав из тальника каркас, он шкуру это самое — и вот он сделал  бубен.
инэктэңкӣтын.	смеялись они.
энинмэс hуруврэн.	твою мать увел.
ну продайдяӈкӣн здавай зда̄ниӈкӣн магазиндӯда̄ тар, как трудодни.	ну, продавала, сдавала в магазин-то, как трудодни.
ēдук оран мугдэко̄н?»	откуда взялся пень?»
тадук ама̄ка̄дукпи hаӈӯкталча:	потом стал спрашивать у дедушки:
орорво айичимни».	оленей лечащей, врачом оленей».
мо̄ла̄деңкӣф.	дрова готовила.
уӈтувунми гаканэм, уӈтувунми луhу дуктэденэ, ойитын.	взяв бубен, в бубен все время колотя наверху.
но всё равно этэ̄м омӈорэ.	но все равно не забуду.
потом турпа̄кадӯ, школьный мыс.	потом на турпаке (русское название: школьный мыс), школьный мыс.
ачин бичо̄н эдӯ мугдэко̄н.	не было пня.
ирэмо̄hисён-до hутэлдэло̄ӣ.	поехала в гости к детям.
кэрэмӣно̄счо̄вун севернай таймурала̄.	поехали охотиться на реку северная таймура.
вадендэ.	ты убьешь .
говорит нуӈан.	говорит он.
тар бу эмэрэпда̄, би нянчитчэлим.	когда мы с вами приехали, я стала нянчить .
раньше, эвэдыт, да? эвэдыт.	раньше... по-
эвенкийски, да? по-эвенкийски.
урӣнэллэв.	остановились.
"василий!	"василий!
hо̄дӯ городӯ уто̄лэ умуко̄н бэе, бултадена, эмукин гиркудяна, эрдэло̄н ēкун-мал ямадӯн бурусо.	давным-давно один человек, когда охотился, когда ходил один, упал совсем в какую-то яму.
бултарэв.	мы добыли.
который дундэ тала эмэнмурэн, угӣло̄ — о̄hӣктака̄рди одан.	земля, которая осталась там, наверху — стала звездочками.
гусён.	сказал.
вот hагдандулайӣ улдитчэңкӣн.	до старости шила.
эвандэ̄ эчэ̄в эракадэ̄.	ничего я не это самое .
****	****
потому что эчэ hуктыллэ мунтыкӣ.	потому что не побежал к нам.
но энин... энинмун умукин мунэ аӈэдеча̄н и...	но наша мама одна нас это...
кан нуңан о̄фкандиңкӣн эр навехи= навехилвэ.	именно он велел делать навесы.
дынӈӣлэ̄гичо, тэпкэденэ, нуӈардула̄тын.	побежал, ревя, к ним.
эхи хунмиктэл навалом.	сейчас мошки навалом.
в упор пэктыро̄чо̄н.	в упор он выстрелил.
микчанэм угучактыкӣ.	спрыгнул к оленю 
«би hинэ но̄дадиӈа̄в эрэгэрит.	«я тебя совсем брошу.
ӣ, обед ӈэнэ̄чэ̄лэн, нулгистэв, нулгистэв вперед.	и, когда обед прошел, начинали аргишить, начинали аргишить вперед.
би ичэдем: оӈоктон багдамача, белый полоса, багдама.	я вижу: у него нос побелел, белая полоса.
ни нэкунми=тэ ачин бисон=нэ.	ни  младшего не было.
амтача̄н нуӈарватын-ка.	он почуял их.
би ба̄ңнэм, "о̄н бригадир бидем?" — гуннэ.	я отказываюсь, говоря: "как буду бригадиром?"
нуӈан ӈо̄лэпко̄нэн ӈинакирва.	он испугал собак.
ико̄лэптыдӣ... угучактӯ тэгэтчэнэ, ико̄денэ, ӈэнэдевкӣ угучак, и до̄лдӣм:	я ехал, сидя на на верховом олене, и пел, и услышал:
умнэко̄ртэ экун эмэрэн мутпэ эвэдыт алагудае.	редко кто пришел нас по-эвенкийски научить.
энӣнми пака индечо̄н дюдӯ эдӯ тожэ ербэкэдӯ энӣнунми улгучэма̄тчэӈкӣв.	мама пока жила, дома здесь в ербогачене с мамой разговаривала .
что-то ēва-вал ӈалэлдиви минэ мо̄ндуло̄и...	что-то почему-то руками меня к себе...
вот эхӣ эхая асин одам вот теперь.	вот сейчас без глаза стала, теперь 
«ну, наверное, биркэ.	«ну, наверное».
****	****
граматэв а̄син, все равно улгусёниңнэм: "тугу, тугу, тугэ айисӣңнэм орорво, тугу, тугу оңнокорвэ балдивуңнэрэв," — гунденэ.	грамоты у меня нет, все равно рассказываю, говоря: "так, так, так лечу оленей их. так, так телят выращиваю."
экун-ка участок хогдыңа.	этот, участок большой.
тар тоговэр hиӈкэрӣдерӣван гундевкӣл бисёл.	говорили, что огонь у них трещит.
чисто бичо̄н экологическаил.	чисто экологический был.
hавалдерэ.	работают.
энӯпчу тукко̄нди эрэхиндем энӯло̄н до̄ла̄.	больно, вот так начинаю делать, больно внутри.
тадук мусюми.	потом вернулся.
ēкун-да асин.	ничего нет.
потом, вертолет дэгилчалан, hурум — нэ̄ку, нэ̄ку дагин hукулэ̄дирэн.	потом, когда улетел вертолет, я пошел — рядом с лабазом, лабазом   лежит.
вамулча ӈинакинма hэвэкӣ.	бог рассердился на собаку .
тэгэминун ниhӯнэ̄hинэм-нун дядянунми.	назавтра поехал отвозить тушу с дядей.
чипка̄рвэ ва̄деча̄в, мо̄ты̄лва.	соболей убивал, лосей.
нуӈартын, чулугдыл, hэгдымэмэл бичэ̄тын.	они, чулугды, были огромными.
да.	да?
олгӣса-да̄, тадук hэлэ тариӈми тадӯ локосо, аямамат олгодо̄н.	высушил и потом-то ее повесил там, чтобы хорошо высохла.
хокориттэ-да, малый стадо, манаврэн орон.	потеряли, малое стадо, олень закончился.
ēкура никэдеӈол ода̄вэр ӈо̄лда̄н тар сипка̄нӈис.	что  делать ?
би hуюкуко̄н бичо̄в тогда.	я маленькая была тогда.
би нуӈанман гунил... орӣл....	я ему стала ...
эдӯ а̄рӣрэн, эду-кэ, "пастукилкэл!" — гуннэ.	сюда позвал, сюда, говоря: "пастуши!"
экэлду эмэрэ эрэгэрит!» — гунденэ.	не приходите никогда!» — говорит.
hурувсо̄тын, эр илкэ̄нденэл hурурэ.	увели, делая зарубки, пошли.
ну тогда этот варак гундерэн:	тогда враг говорит:
ēкун-мал-та о̄дан.	что-то случилось.
улгурдям, он hаргилтыки шуруӈнэрэв эдук.	расскажу, как в лес уходим отсюда.
мэндеркаӈаха бичо̄н.	покойный хромой  был.
аминтын эделин эмэрэ, тариӈилби дяяран.	пока их отец не пришел, он их спрятал.
дю̅какāндивэр бичōвун.	у нас был маденький чумик.
миндула̄ ичэтчэрэн.	смотрит на меня.
турукокиттула̄ тас= тассяңа̄с.	на соль (=на место, где соль) пригонишь.
эр-кэ оронэ асин эвэнки этон уто̄лэпти эмты инэ.	ведь безоленный эвенк не смог раньше жить.
зоотехник о̄ми ороды хавалим дипломми упкатпа-на.	зоотехником оленным став, я отработала целиком  свой диплом.
****	****
би-кэ он нуӈардӯтын туратчэм эвэдыт — хорокил.	я-то как им скажу по-эвенкийски —  глухари .
поэтому эсӣко̄тко̄н эӈэнӣ би эӈнэм аяврэ экур-вэл таргачира.	и сейчас я совсем не люблю что-либо подобное .
бэел ико̄лдэ.	мужчины запели.
и это вот нуӈан — уже забыла, как «по плечи» — уже начал проваливаться этот враг.	и это вот он — уже забыла, как «по плечи» — уже начал проваливаться этот враг.
таравэр койивко̄тнэл, орорвэ хи= бӯсилдэ бэйэлдӯ.	заблуждались, когда оленей людям раздавать стали.
тар валектула̄ дювупкӣл бичол уӈуно.	в тот валек возили это самое.
эмэрэ.	пришли они.
бӣ дю̅дӯви, то hилкидяңнам депдōе вари… һуладеңнэм, ōһаңкāрви һӯчудеңнэм, убирайдеңнэм.	я дома, то стираю,  еду варю, камысы скоблю, убираю.
«би-кэ биhэм hэвэкӣ».	«я-то бог».
этыркэ̅н һаңкэлэе ōдяпкӣ. ну вот и всё	муж санки делает. ну вот и всё
«эр-кэ, уркэвэ аӈалдендэ̄,	«это самое, вдруг двери откроет,
зооветтехникуммэ манам.	зооветехникум закончила.
вот так бичо̄в.	вот так я жила.
«нулгӣско̄т эрко̄рди, вот нулгиско̄т эрко̄рди».	«давайте поедем на вот этих , на вот этих».
****	****
эсӣко̄тко̄н умуко̄н внукив... армияла̄ гара.	сейчас один мой внук... в армию забрали.
****	****
умно̄ амӣӈаhав hурурэн посёлоктула̄.	один раз отец покойный поехал в поселок.
тадук hэлэ, тар hуруса̄лан, hа̄рги тадӯ hоролдесо дагӣ.	а потом, когда он ушел, черт крутился там рядом.
энӣ дюдӯвэр галянун эмонмопкӣ.	мать дома с галей остается.
мēвӯича бичо нуӈарватын.	он был на них очень рассержен.
ой, hуктыллэн тоже.	ой, побежала тоже.
тадӯ бичэтын, кэргэнтын hэгдил бичэтын.	там были семьи их, большие были.
деревнядӯ экун-да̄ ачин: яблокэл, экур-да̄ ачир.	в деревне ничего: ни яблок, ничего не было.
энёкэв девяностых годах ачин о̄ча̄н.	бабушки в девяностых годах не стало.
вот аят индям, в общем.	вот я хорошо живу, в общем.
эмэрэн дюла̄и.	пришел домой.
тар ама̄ка̄н гундерэн...	дедушка сказал...
потому что нāңмактадӯ нуңартын век лежат, боятся комаров, в лес не hодят, редко ночью только, ой, долбо только, долбо ңэнэпкӣл.	потому что на комарах они век лежат, боятся комаров, в лес не ходят, редко ночью только, ой, ночью ходят
«эдук-дэ̄ век буссэлдерэс.	«теперь вы всегда будете болеть.
****	****
и ӈинакир ēкун-мал гогодерэ тадӯ, уллэдӯ.	и собаки кого-то лают там, на мясе.
аӈэ, калакача̄н бичо̄н мунӈӣ, таз.	это, котелок у нас был, таз.
ну и все, ну и это, я говорю, это, ходим на лыжах.	ну и все, ну и это, я говорю, это, ходим на лыжах.
бэюнмэ нян этон тук пэктыро̄рэ подряд.	дикого оленя опять же он так не станет стрелять подряд.
hутэлтин кэтэмэмэ бисо̄тин.	детей у них было много.
би гундем:	я думаю:
hогдоко̄ртын.	хвостики у них.
****	****
умуко̄н hутэн.	у него один ребенок.
тар куӈакандӯи букокутча.	он умер ребенком.
мо̄нин хавалилдан.	сам начал работать.
би гунилим: «экэл орэрэ, тадӯ аӈил, аӈил ӈо̄нимил бӯнӣдерэ», — гунилим.	я стала говорить: «не кричи, там эти длинные воют», — стала говорить.
уже hактыра̄ллан.	уже стало темнеть.
«буран» ӯдялӣн некэрэвун внизтики 	по следу «бурана» мы поехали вниз. 
мундука̄рэ эмэвувкӣ.	зайцев приносит.
аӈадяка̄рин-тэ элэтын тумнипчал.	сироты-то его все оплеванные.
бу гунно̄рэв.	мы говорили, наверное:
тар hутэлнунин бидевкӣ тар бэе.	с его детьми этот человек.
тар дюла̄вэр ирэктын, илдевкӣ.	когда они заходят домой, он заходит.
hулукундӯф ӈэнэктэсо̄вун потаптула̄ орорди.	когда я была маленькая, мы ездили в потапово на оленях.
амӣ охотник бичо̄н.	отец был охотником.
****	****
тадӯ же напугал оронмо.	там же напугал оленя.
ēкунма орорди эмэрэн.	кто-то на оленях приехал.
ама тар, как его....	дедушка тот, как его...
умуко̄н гулэвун только.	один дом только.
ну умукин мунэ аӈидеча̄н .	ну, она нас воспитывала .
аӈи лучал коколдолтын же.	это самое, рукавицы русских же.
тар ӈинакинма гиркӣтэ̄десё.	ту собаку другом считал.
аӈил, орор ӈэнэдерэ.	эти, олени идут.
потом чипка̄нӈис тар мунуранда̄.	потом эта твоя утка протухла.
нуӈартын ӈэнэдепкӣл чулук-чулук-чулук.	они ходили: чулук-чулук-чулук.
би-кэ хагдисаңэхийи-нэ, э̄кун о̄дям?	старый стал, что буду делать ?
ичэттэн нуӈарватын:	посмотрел на них:
hавалкира̄, hавалмнӣтын оран.	работящий... стал у них работником.
но уӈунбэлэ, адэлинае хуруврэн.	но он эту самую, аделину свою повез.
тадук эр турула̄ эмэвуңкӣтын гурушшикил.	потом, это, в туру привозили грузчики.
—экун тавэр? — гундерэн.	—кто там? — говорит, —
туксама бичо̄в.	я быстро бегала (=хорошей бегуньей была).
hукэвэ бурэ hэгдыко̄кун.	топор дали огромный.
аӈила̄ би дагама̄м, моhала̄.	к этому самому я подъехала, к лесу.
стараявэ метрикава бакачавун а... моhадӯ.	cтарую метрику нашли в лесу.
то̄лӣ ая бич... ая то̄лӣ.	тогда хорошо , тогда...
hэлэ маӈӣ аhӣ кэлтэр hуктыллэн, иланди маӈӣл бэелди.	вот медведица в другую сторону побежала с тремя медведями-самцами.
****	****
мирэним.	вышла замуж.
тар совhозтӯ би hавалилча̄в.	в этом совхозе я стал работать.
тар бэевэ исесо тар дэги-киӈгит, киӈгит тарэ.	того человека увидел эта птица кингит, "звенящий".
в очках ходил все время, у него специальные такие очки.	в очках ходил все время, у него специальные такие очки.
«hэлэ, hурурэв, hурурэв, ӈэлифсиёй, ӈэлифси.	«вот, уйдем, уйдем, страшно, страшно.
тāдук стāдолāтын нулгӣрэвун.	оттуда мы в стадо аргишили.
ха̄кин, дептэл-дӯ, крупа̄-дӯ, масло-дӯ, бурдука-дӯ, эсэ хунтил-дӯ бу бэлэңкӣвун оролон= оролордӯ демӯдерӣлдӯ, мэнңӣвэр хэлэрэкин э̄вэр.	сахар, еда, крупа, масло, мука, еще другие , мы помогли, оленеводы, оленеводам голодающим, если у нас останется что-то.
"хинңӣ опытис хэгди.	"у тебя опыт большой.
дяндук тунӈа анӈанӣв бисо̄н тадӯ.	пятнадцать лет мне было.
нуӈанман-мок-ко̄н эвкӣл эйдэрэ, даран гиркудярӣва.	совершенно не замечают его, когда он ходит рядом.
тыма̄тнэ ала̄ттэн тырганӣвэ.	наутро ждала целый день
упкачин аӈэ, гарь ачин, эчэ, дегдэ̄ эрэ бирэ, если бирэкин тар мугдэко̄н.	всё, гари не было, если бы это был пень .
****	****
эдӯ hа̄рги гиркудявкӣ дагӣ.	здесь черт ходит рядом.
тоже илмакта бисо̄ф.	я тоже молодая была.
еще эпкӣт бичо̄н.	еще нельзя было.
тар оӈкоко̄кун биӈкин, гунипкӣ то̄лӣ.	говорят, там было было много ягеля.
фронтадук исё.	с фронта еще.
но и нюӈун внучатылви биhэ.	ну и шестеро внучат у меня есть.
умукон кэргэндӯ орортын hердӯтын hунңту экуртын hамэлкӣтын.	в одной семье на ушах оленей одни  эти самые, отметка.
чаӈит тар, чаӈитпа тарэ аӈива̄т, чокна̄га̄т».	давай это самое, пойдем убьем того медведя ».
ганатма̄тчэвкӣл.	долго стрелялись.
тоже тумнипча элэн.	тоже весь оплеванный.
лусадыт нуӈартын эрэ тарэ миндулӣ яӈурэ.	по-русски они со мной не говорят.
индемчэл.	жили бы.
«hэлэ этэетчэкэл бэеӈилбэв!	«давай, сторожи моих людей!
эңкӣв гороё хавалда.	не мог долго работать (=обычно долго не работал).
уже дяндук дяпкуси-вэл о̄рка нуӈан анӈанӣ-сэ.	уже стал он, наверное, где-то восемнадцати лет.
ганалчилтыкӣ гусо:	стрелкам сказал :
hактыра̄лча уже.	темнеть уже стало.
ну, умукэ̄н hалгачичил.	ну, одноногие.
ичэм абачӣва.	увидел медведя.
"аӈя окэл!" — гунэн, —	"это самое сделай!" — она сказала.
hактирила̄ hурувкӣ.	она ходила в темноту.
ило̄до̄ пока эдо̄и hурурэ некэдям, пенсионерка.	никуда уезжать не собираюсь, пенсионерка.
дюктэдӯтын угранда̄ тарэ.	он сел на них двоих.
иhэлдӯ hо̄ бивкӣ игин.	на камнях был сильный шум.
я би гуним: «кэ, эсӣлэ̄, каманя дявакат аӈилвар, ӯчакилвэ!	я сказала: «давайте сейчас скорей поймаем этих, учаков!
тарэ вместодӯн hавалчав-да тэр исполняющим директором.	вместо него я и работал тем исполняющим директором.
«эдук этэндэ.	«отсюда ты уйдешь.
мом, а мом орорэ эхиндевадем и хоктэва хинчэм ӈэнэм.	сама я оленей ??? и поскачу???
би улдэӈилван орорди дёвудедем.	я перевожу мясо, принадлежащее ему, на оленях.
hавал иду-дэ эчэв hавалдяра.	нигде не работаю.
куңакандуйӣ би туксэктада̄йи экэңкӣф, эвидэйӣ аhаткарнун.	в детстве я побегать хотела, поиграть с девочками.
ило̄ больше одерэ?	куда еще денутся?
арама мучум таргит: буссэдечов.	я еле вернулся оттуда: я болел.
совхозтӯ сдаваӈкӣн.	в совхоз сдавал.
потом бакаран умукон кэргэнма, хутэя асир.	потом нашел одну семью, бездетную.
тарилди долбонӣ тирганӣ гурусӣпкӣл бурдукалво уставан-тэ.	с ними ночь, день грузили муку, все подряд.
умно̄ hурусо бэетко̄н тарэ.	один раз пошел этот мальчик.
аӈилвэ, багдакэ̄лвэ ва̄дякилвэр тарэ дебдерэ.	диких оленей, убив, едят.
тадук би до̄лдым:	потом я услышала:
чипка̄рвэ тоже».	птиц тоже».
тунӈа анӈанӣв минӈӣв асин бисо̄н.	пяти лет мне не было.
и то̄лӣ до̄лдӣллэв, до̄лдӣрэв.	тогда мы услышали, услышали.
ӈэнэдесо.	шел.
сипканмэ, дэңкэва гогодяран.	соболя, соболя лает.
но потом, гундерэн, ӈэ̄лэтчэпкӣл юда̄вэр тулискӣ.	но потом, говорит, боятся выходить на улицу.
ну тāдук ōкӣлдэвэ, там илалдаво всего нулгӣчōвун даркиндуваин.	ну оттуда сколько дней, там три дня всего аргишили по хорошему насту.
гунэ-кэ: эhикон чиктил кэтэмэмэ̄ онёто̄лис.	говорила, что сейчас бисера очень много, только бы заниматься
тадук нуӈан ичэрэн hэгдыко̄рва аӈи... hалгарвэ.	потом он увидел большие ноги {т. е. следы}.
ехэлдук, чириндалдук, байкисилдук хирулвэ меняйиңкӣвун.	из ессея, из чиринды, из байкита меняли быков.
никольское-кэ тар вообще нету тоже.	никольское-то, того вообще нету тоже.
амӣ дальше хуру=, ча̄скӣ хуруден, мо̄хавэ ча̄скӣ.	отец дальше поедет, в лес дальше.
потом уже илитын тырганӣ hурурэн.	потом уже третий день пошел.
энӣӈэhэв чатыпка̄лдэн-да̄ и улгусо̄лдэн:	мать покойная чаем напоила и рассказала:
экэл дуктэрэ!»	не бей!»
«уркэва аӈасилдендэ̄,	«двери начнет открывать,
тадӯ бэюр тогда угдуhичэл бичэ̄тын.	туда дикие олени тогда залезли.
