ichetnodem	приду посмотреть
bi chok   chokchaw bah nunganman	я прицелился бах его
tarin hekergeso-do amargildii ilkonem ere ikonmon tugilwer ustawan kahiliwki	тот рассердился и встав на задние лапы вот так всю грудь ему порвал
dukchaduwer tegetchenel tar depdenel gusol	когда они сидели у себя в чуме и ели они сказали
dengilbi biwuk bingkitin mundu ugot	деньги у нас всегда были
uholchon	заболел
aminin hirogir dmitrij aminin udigir walentina trofimowna	отец ее хирогир дмитрий мать удыгир валентина трофимовна
e tadu norәw nunganman	там мы похоронили его
turudu uchitchaw	в туре учился
diktele ekurwa ahaktadangkif ulgukilwe ulgukilwe	за ягодой за этим гоняла бурундуков бурундуков
isetcha-da gunderen	увидев говорит
on oda	что с ними стало
taritper ngolesilden	вот этого она станет бояться
postojanno gramotalwa bungkitin nungandun	постоянно ему грамоты давали
emonmuchotin guleldu	они остались в поселке
tara bi doningnem	это я вспоминаю
hululan ho kungakan	маленький очень ребенок
tug nikochon bimche	так делала бы она если бы была
tare tarilba ugadana hururen erdelon tar dulduktin	совсем ушел от их чумов неся эти 
bi inekteldem	я смеюсь
ungunduk angil dalin angiduk gulelduk emere-de iseno angila	родственники из этого из поселка приехали и поехали посмотреть
brigadir okel	будь бригадиром
i tegemile bidechow	и до следующего дня был
tuliski juwki-da tar beje	этот человек выходит на улицу
dewuldektin dewudeliwki ostolduktin	когда они начинают есть он начинает есть с их стола
umukin emenmum bi umukin	я один остался один
minngi omolgilwi e dalwi towlohine gospodi	мои сыновья ой мои родственники поехали по ягоду господи
angirawun obradowalis w obschem chto obradowalis chto oror mutki emechel dulawer obratno	обрадовались это что олени наши пришли домой обратно
e ngelelle	о испугались
gewran toktohinen ongoktolin kotot	он повторил ударил по носу пальмой
nu digilrewe hawalingnem nu duleshki digilrewe amashki	ну четыре дня хожу ну вперед четыре дня назад
tug-do node dulai ihim	так-то хорошо доехала домой
epki eto kahirgare nu i ladno etirgare to jest	не ломается то есть не рвется
wiboril bulleterwe ngenewungkiwun	на выборы мы бюллетени привозили
bi durwe tadu horokilwe wame	я двух там глухарей убил
urkeje edelikonmi angare burupki	не успев открыть дверь упал
uldekokurwe dewdere	мясо едят
ngolepkosilde	стали пугать
ilmakta hawalilchaw	молодая начала работать
taringilnum bidedengos	ты будешь с этими моими 
ami aminun hururew ohotnikildula aha	отец с отцом мы пошли к охотникам ага
ilmaktadui dadanunmi ohotilsadichaw	в молодости я охотился со своим дядей
do sih por do starosti bichon ehan ne widel	до сих пор до старости был глаз у него не видел
abachi uluren tiparawa i tipallan ongoktowi hokse edon ojone	медведь откопал грязь и стал мазать свой нос чтобы не текла кровь
bi albahichaw ildami	я не мог встать 
aminduf kete oron bison	у моего отца было много оленей
edu motimidichow bejure	здесь охотился на диких оленей
tug-do ese nawkane	так и не попал
taduk nungan gunen	потом он сказал
sadiktu hawalchaw tozhe	я работала в детском саду тоже
tadu indere ajamamat gunne gunne hehenen	сказал там живут очень хорошо рассказал
taduk tuksahinen amana	потом побежал быстрее
bi nanchisilchaw hine	я стала тебя нянчить
nu bu sururew tala	ну мы поехали туда
kete bichetin omolgil kete hunatil bichetin asatkar	много было сыновей много дочерей было девушек
erupchut inchowun amaski hot	плохо жили раньше
amim tolgokiwa oran hurupdoi eninmef dundengdulon i edu nodoi	отец санки сделал чтобы увезти мать на ее землю и здесь похоронить
biraldu hindatchaw delilwe nirusarwe majgulwe	на реке рыбачу тайменя хариусов линков
mu odan tadu	там появилась вода
tar-da huruwupkil danduk duldo kilo digin namate ki kilometr helekemet	везли двенадцать дней четыреста километров с лишним
nu amaskite jesche ororrikteldi zhe girkungkitinte	ну раньше же еще на оленях только же ездили-то
magazindu sdajchawun ollolwo ullelwe chipkarwe	сдали в магазин мясо рыбу соболей
angil bejel angiltin igiltin doldiwra	это голоса людей слышны
gil ewen   iduk iduk eni bichen nungartin bichetin bolshoj porogtuk amintin nungartin pankagirskajduk rodtuk bichetin	откуда откуда мать была они были с большого порога отец их они из рода панкагиров были
nungartin akchulla daldulawer	они стали рваться к своим товарищам
dinngilecho gde-to derelotin tadu	он бежал там им навстречу 
bi bi uchakki dawamalcham taduk	я своего учака быстро поймала потом
dezhuritde   dezhuridepkil kungakar dolboniwe	дежурят дети всю ночь
prishlos ngenedemit	пришлось пешком идти
hukitei garan-da buren editkii	живот свой взяла и дала мужу
eton-nun erupchut ora	он не будет делать плохо
homotiwa umukon raz wame	медведя один раз убил
internattu tak-to bidengkiw	я так-то в интернате жила
nungan zhe girkuren	он же ходил
emedengnewun	мы приходим  
omonim tegemile	оставил до следующего дня
wot tundra prawdu	вот тундра правду
potom wertoletit degrewun	потом мы вертолетом прилетели
bu u   utele ewenkilwe   utele ewenkil ahijawar gengkitin hungtulduk dunnelduk hungtulduk dunnelduk	мы раньше эвенки жену брали из других земель из других земель
a ungundu tawar walektu ehi er walek biden tadu angipkil bichol ororwer dawuchapkil bichol	а там этот самый в вальке сейчас этот валек будет там это самое делали оленей держали
jescho dagamawat	давай еще приблизимся
hama hamahaldu	хама хамахалду
ichetcheren	видит
ohotnikil aha ekundi emerkel ne pomnu	охотники ага на чем приехали наверное не помню
bure nungandun tandan	дали ему закурить 
tut na dimokur olenam taskajem	тут на дымокур оленям таскаем
guleldu tam oki tri ilaldawa bichowun	в поселке там сколько три три дня мы были
edu pohoronen hukuloderen	здесь похоронен лежит
ranshe won towlidei ajawungkiw pramo	раньше вон я прямо любила собирать ягоду
namadiwe toli wachal	сотни тогда убили
tar gurustu girkudaril	те кто с грузом ходили
emerew	приехали
tuksadedawer dildan    dildandadawer	лишь бы побегать повоображать
horokila pektirondengos helakila emi gune helakila	глухарей стрельнешь куропаток – не говоря уж о куропатках
dada gunen	дядя сказал
i wse rawno on-mer kedene popallen nungardutin	и все равно как-то попался к ним
idi chaski okel diski diski amngaduk diski okel	в стороне будь подальше подальше от входа подальше будь
obiknowennaja nu	обыкновенная ну 
horoshaja babka bichon	хорошая бабка была
nungan tegetchechen edinunmi	она сидела с мужем
kungakar hajale duduwer	детей нет в чуме
dur hutei edudo baldildigasan	двоих детей она здесь с ним родила
tegetcheren	сидит
jesli kungakan kutusi kungakan kutusi bihikin ororin baldilifkil	если ребенок счасливый если ребенок счастливый олени его растут
tozhe nimngakanli ekunli	тоже сказка ли или что ли
baldicha bihim	родилась
wospitiwat-to one	воспитывать-то как
nu i huktidere	ну и бегут
produktow malo gachawun produktelwe	продуктов мало взяли
aminduf haman guso	отцу шаман сказал
tar umukon angani nungandun bisow-do elo otpuskalai emem	в один год я у него был сюда в отпуск приехал
aminmi gerbin bison udigir innokentij nikolajewich	моего отца звали удыгир иннокентий николаевич
muttuk heleket indere tar hergudu dundedu	они на этой нижней земле живут лучше нас
nu gorowo eson hawalda tar kazah kazahstanilduk emeso	ну долго не работал тот казах из казахстана приехавший
potomu chto ilmaktal bichotin sami nginakir	потому что были самые молодые собаки
i mine gune	и мне сказали
heweki-te gunen	бог-то сказал
tewlahidechawun eto dur annganil	мы ходили по ягоду два года 
ekunnun	с кем
nu tug gunderen	ну так говорит
dulindutin dukchal ischende-do isettoi tar hegdimomowetin duwa-do	ты дойдешь до середины чумов чтобы увидеть этот огромный чум
dinngilehinchicho	он побежал
i ilo-do ngenedengos orondi	хоть куда доедешь оленем
nungartin guningkitin chipicha kinggit	они говорили птица кингит
heki erdelon tar ilitcheren pehisiwso	эта большая лиственница до сих пор стоит расколотая
tuge tuge tala molwe nokellu tala	так так туда палки положите туда
a akim erupchut indeson tadu	а мой старший брат плохо жил там
horoliktedecha bicho	крутился
ngelewsiko hegdimama hegdimama bichon	очень страшный большой-большой был
tozhe motimidichow huksinun mart dulindun	тоже охотился на лыжах в середине марта
jangildu biwki biso tar iheldu	на горах бывал был на камнях
dan klasspe manachaw	десять классов закончила
ahal-da e-ne hawaldafkil	женщины тоже это работали
tar beje jangudariwan gundere tar togo hin    togot hingkerideren	про то как разговаривает этот человек они говорит наш огонь трещит
i uldengilwan dowuldedem	и мясо принадлежащее ему стану перевозить
sindu okin anganis bichen	тебе сколько лет было
oron ewenkidu elede hegdi belego	олень для эвенка все-таки большой помощник
taduk hurusolon tare umukon emeson	потом когда он ушел  тот один пришел
ilan anganisil binel kungakar asir ongkitin ulguchonmochilchol bi   binel	будучи трехлетними начав разговаривать дети умирали
aga nu bolo-te nginakirdi	ага ну осенью-то с собаками
kinggit hutelin-to tar jonmasilchal	дети-то кингита очень испугались
aha urkewatin angamda perchatkelwe ichem tug harbaldedere	ага их дверь я открыла и перчатки увидела вот так растопыриваются
targit emechol bichotin tozhe	оттуда тоже они приехали
okir bi tepkelim-de taduk taril himurgara 	когда я крикнула все затихло 
tugdo bi duloski huktiwuhinem	так-то я вперед поскакала
pramo dumala bejeje etem bakara	прямо думала мужчину не найду
angidu dolboltono istan	это вечером доехал
i nungan tegeren	и он сел
potom taduk bi wertoletit әla әmәhinәm	потом я на вертолете сюда прилетела
i to jesche angi utunilipki dola nawernoje utunilirgun	и то еще это самое чешется наверное внутри чешется
echol bihiwun hare	мы не знали
nurmachal	подкрались
aminngahaw angilcha logilcho gunne	отец покойный это начал ругаться стал сказав
a etirkom gunden	а мой муж говорит
bi dedushka   oj amakanun aminun-he bi nulgisinim	я с дедушкой с отцом аргишила
haman hamanildan	шаман начал шаманить
tar emcha	это бы сделали
archemkachalde mune һaja̅le amandichal	встречали нас но не было опоздали
achin achin	нет нет 
taduk umukondu diski huruchowun tartiki alik stadola	оттуда вместе в лес поехали туда в стадо алика
ewkil nunganman isere taringilin ewkil ejdere-de	его не видят и не замечают
tala buran emekteche holkit	там буран приезжал недавно
orolo   oromilowun tadu tiremticho bicho	наших оленей он давил там
i tolinge budan uchamidu	и тотчас умер в учами
na̅demachawun orokorwe gde-to dapkutalwa-hinche	получили в подарок оленей где-то по восемь голов
debngenelwer debdere tare ngonimil	свои объедки едят эти длинные
i dolboltono tegetcheren	и вечером сидит
nungarngitin udaltin achir	следов их нет
da da	да да
nungartin muchuchal dukchalawer emechel ororwun ororin tare nunganngilin	они вернулись к чумовищу пришли наши олени олени эти его
tozhe uchakki pustim bi menngiwi	я тоже отпустила своего учака
taduk angilbi ororbi ilda	потом мои эти олени встали
heweki hele angilba odawki	бог-то этих самых делает
hele bi ere mot ange bejngo ireksewon olgikta	вот я это палкой высушу шкуру дикого оленя
dawaj dundewe hogintugat	давай землю пинать
daldui hehendengow	друзьям расскажу
goro bicho tadu stadotin namadi da̅n kilometr potaptuk	далеко было там их стадо сто десять километров от потапова
tolko shkolalduk huruche	только из школы ушел
aminduwer enel hilbara	не говорите своему отцу
ke gunem jakut golomowon bakam	вот сказал я я нашел зимний чум якута
keshaw baldiren	кеша мой родился
digali	на дигали
ewkil-da mine isehine	не смотрят на меня
edukwehin etende ekunmada bakara ilada hurure	отсюда ничего не найдешь никуда не уйдешь
amtilwi emere gunmi tar aminmi umne hehenchan minduju on elo emere er dundilo agataduk	родители мои приехали так сказать отец мой однажды рассказал мне как сюда приехали на эту землю из агаты
chagit togda dawakal ngaleldiwi	подальше тогда схватись руками
deptileletin emepdere	продукты привозят
nungartinkun nurmachal ajamamat ichetchechol	они-то подкрались хорошенько смотрели
bultadengos dewdoji bejngoje bejune	добудешь поесть дикого оленя дикого оленя
potaptula tarilduk girkudengnerewun	в потапово от них ездили
tarawe hele tar guso nginakinma	потом вот он сказал собаке
bi eli baldisaw	я здесь родился
hawaldapkin oldachan-ke	стал-то работать
ehi bedni nungarduktin eleduktin inderen ungun ele gala a samaja mladshaja	сейчас бедные из них из всех живет эта вот галя а самая младшая
hele duktemkoren-do hutelin jonmasilchal	вот он стал колотить и дети очень испугались
gugaretchere	звенят гугарой 
ewanda echew ichette	ничего у нее не посмотрел
eche horosho eche huktille mune ahahine	хорошо не побежал за нами вдогонку
taduk elo emengnerew	потом сюда приходим
wot tarbawa anganiwe inchen minngi ebekef	вот столько лет жила моя бабушка
on-ke nikeldere	что же они будут делать
taduk amim emeren	потом отец приехал
jullen	начал выходить
ororwun manawra	наши олени закончились
kungakan amakan-te etirkon inde   ilani enitin	ребенок и дедушка-старик и мать трое
muje gelektenehinen	пошел за водой
nu gunderen widno ilane tirganil hiranipkil ange makitkar odatin	ну говорит видно три дня спариваются чтобы были медвежата
nungan ekun bison turuhanskadu	она это была в туруханске
ngalelwe hongnasal	руки отрезали
suglan oran-da gune elo ele- ele- elet emegot umundu bid bida bidep bigot	суглан сделал говоря сюда все давайте придем все вместе здесь будем давайте будем
opat hururen	опять пошел
bi ehikon ulguchondim eningeheji udigir natalja jakowlewnawa	я сейчас расскажу о своей покойной матери удыгир наталье яковлевне
er amakan guso	дедушка сказал
dulatin ikonemil gusol	когда пришли в их чум они сказали
hongnanekekor lokotchol tuge	отрезав же повесили так
bi bultadam biraldu digali chikti dami	я охочусь на реках дигали чикты дями
hine mozhet beledem	может помогу тебе
potom nungunme hutew baldim	потом шестерых детей родила
iledit	по-эвенкийски
satiralba isel-do bagdamalba lokotchol tadu	белых песцов выделали и развесили
bururen jolki	упал ёлки
a akim biwuk erupchut inderen	а брат всё еще плохо живет
potom	потом  
aja ahi bison	хорошая женщина была
